"","GCU","N","nb_loci","polymorphic_loci","Hs","Fis","ave_pairwise_fst","pop_specific_fst","Q1","Q2","Q3","Q4","Q5"
"1","AUT00179",25,3187,0.923438970818952,0.252304424223408,-0.00874114003060833,0.086826296905996,0.0313579603240648,0.072293943372,0.70813224,0.13493698,0.024601423276,0.06003555814
"2","AUT00215",24,3187,0.905240037652965,0.230192814559147,-0.0202789028992352,0.108599610152382,0.0668500123208642,0.0376120948333333,0.918026333333333,0.00150576870416667,0.00957163030833333,0.033284209025
"3","DEU00114",25,3187,0.909632883589583,0.243965484781927,-0.0425871812613983,0.0930831065868521,0.0381963879043809,0.053731475348,0.83645232,0.037282822676,0.029110855632,0.04342258522
"4","ESP00339",19,3187,0.898964543457797,0.216679622047244,-0.266218547407221,0.169457323566606,0.208023034746949,0.0439559317368421,0.0557572441473684,0.319123320584211,0.516976473684211,0.0641869197157895
"5","FRA00004",19,3187,0.883903357389394,0.239559648572325,-0.161138664891629,0.111478024621084,0.0771495789045809,0.126536170384211,0.32475811,0.413793684210526,0.0628923257526316,0.0720195818
"6","FRA00006",20,3187,0.884217132099153,0.187773446327684,-0.015143096604709,0.193166814925735,0.243472862112422,0.010125511815,0.024718967525,9.997483e-05,0.9414409,0.02361448431
"7","FRA00019",17,3187,0.88484468151867,0.253087068424357,-0.149201624943807,0.141621853761957,0.120942968311662,0.0985478630647059,0.0297749591764706,0.639255176470588,0.169899706652941,0.0625221451941177
"8","ITA00029",25,3187,0.918732350172576,0.182025737602009,-0.0328740856718179,0.12974136851258,0.202439422630526,0.91556472,0.00954903952,0.009442557124,0.001209542608,0.064234208252
"9","ITA00069",24,3187,0.932538437401945,0.172164101758794,-0.00167082410421626,0.156944331630396,0.277116682930586,0.951531875,0.00415152507083333,0.0013809133125,0.0159234759083333,0.027012246275
"10","ITA00217",23,3187,0.896768120489489,0.233266457483527,-0.00808439157289498,0.0943994614261201,0.0459618047027405,0.170131,0.557361782608696,0.118793926086957,0.0968742561304348,0.0568392023913043
"11","ITA00260",25,3187,0.918418575462818,0.244721845574388,-0.000190117620105346,0.0918701355987435,0.0439732738163633,0.137667031964,0.52487064,0.140025748,0.14347112,0.053965398704
"12","ITA00271",25,3187,0.917477251333543,0.178085091023227,-0.0157291659139365,0.140437106919446,0.228735398503701,0.9467974,0.0127968912,0.004521351932,0.004778464248,0.031105917256
"13","ROU00104",25,3187,0.889237527455287,0.172484463276836,-0.0441682060711366,0.138751844484899,0.22174734125225,0.032034816248,0.003952100124,0.000454753408,0.003270520528,0.96028772
"14","ROU00358",24,3187,0.875745214935676,0.184350141198619,-0.0041749790944674,0.1221153919829,0.164999463992799,0.0262421033666667,0.0167932827958333,0.00304710147916667,0.00920820587083333,0.94470925
"15","ROU00389",25,3187,0.884530906808911,0.179772168183244,-0.0354501627500137,0.129945770125889,0.192182234166833,0.021638291972,0.014338357764,0.000725284376,0.00318491654,0.96011304
"16","ROU00477",18,3187,0.85942893002824,0.196380672532998,-0.0477934053912479,0.10586529215015,0.130932431536307,0.0239589660444444,0.177379905555556,0.0246086119833333,0.0171264459166667,0.756926222222222
"17","SVN00023",25,3187,0.914967053655475,0.236283997489802,-0.000490812471257929,0.0849048680906429,0.0326024311378276,0.055940892124,0.70736856,0.032786148092,0.047370258692,0.156534108
"18","SVN00025",25,3187,0.900219642296831,0.235332601192344,0.00849061006259955,0.0985079689666208,0.0444651482764553,0.043435724476,0.88838524,0.00398989224,0.042561080832,0.021628058688
